Property,Alternate Name,Description,Address,Historic District,Construction Date,the_geom,Longitude,Latitude,Photo,Images,Additional Information
"Jones, Scipio A House",,"The Scipio A. Jones House, located at 1872 South Cross Street, is a Bungalow style house. Listed in the National Register of Historic Places in 5/28/1999, it was constructed in 1928 for Scipio Africanus Jones.  This one-and-one-half story brick and stucco house was home to Jones, a powerful attorney for the black community in Arkansas.  Jones was one of the first black lawyers in Little Rock who won many appeal cases, which went to the United States Supreme Court, against wrongly convicted men.  Jones was also a prominent leader of the Arkansas Republican Party.",1872  S Cross,Paul Laurence Dunbar School Neighborhood Historic District,1928,POINT (-92.2872374096 34.731119486962),-92.28723741,34.73111949,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9832/PU9832.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9832/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9832/PU9832_ai.pdf
Hotze House,,"One of Little Rock’s most important historic buildings, the Hotze House was built in 1900.  Charles Thompson designed the house in a combination of Georgian Revival and Beaux Arts Classicism.  The structure was listed on the National Register of Historic Places on 8/11/1975.  Symbolic of the many European immigrants who settled in Arkansas, the Hotze House was built by one of Arkansas’ most successful and prominent businessman, Peter Hotze. His house is representative of his ability to bring both economic and cultural development to the city of Little Rock.",1619  S Louisiana,Governor's Mansion Historic District,1900,POINT (-92.274192672337 34.732817563558),-92.27419267,34.73281756,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1026/PU1026.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1026/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1026/PU1026_ai.pdf
Little Rock Us Post Office & Courthouse,,"The Little Rock U.S. Post Office and Courthouse, also known as the Little Rock U.S. Post Office and Federal Building, located at 600 West Capitol Avenue, is an excellent example of a Classical Revival style building. Listed in the National Register of Historic Places in 12/23/1999, it was designed by architects James A. Wetmore and Louis Simon and engineer F. M. Weakly.  Programs meant to help lower unemployment rates at the time of the Great Depression were created in this building.  This five-story building features a limestone façade and large Doric columns.",600  W Capitol,,1931,POINT (-92.27767326014 34.745456552478),-92.27767326,34.74545655,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9416/PU9416.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9416/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9416/PU9416_ai.pdf
"Lee, Robert E., School - Hinton Community Center",,"The Robert E. Lee School, also known as the Willie L. Hinton Neighborhood Resource Center, located at 3805 West 12th Street, is an Art Deco and Gothic Revival Style building. Listed in the National Register of Historic Places in 6/2/2009, it was designed by architects Frank Gibb, Theodore Sanders, and Thomas Harding, Jr., and was constructed in 1906 by Patrick Power.  This brick, two-story building was created in order to help educate the rapidly growing population of Little Rock.  The building was named after the city director, Willie L. Hinton.",3805  W 12th,,1906,POINT (-92.316236833778 34.740014668712),-92.31623683,34.74001467,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8452/PU8452.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8452/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8452/PU8452_ai.pdf
Gay Oil Co Building,,"The Gay Oil Building, located at 300 Broadway, is a two-story Early 20th Century Style Commercial building with neo-classical detailing.  It features terracotta on the ground floor and more elaborate frieze and cornice on the second floor.  It has a basement which was originally used for parking.  The Broadway façade features an entry to the second floor offices while the corner of the first floor originally functioned as a gas station.  ti was built in 1925 and designed by Wittenberg, Deloney and Watts, architects; N.B. Garver, engineer/designer; and constructed by Carter & Carter, contractors.   It was listed in the National Register of Historic places on June 5, 2017.",300  S Broadway,,1925,POINT (-92.275755910361 34.746657599512),-92.27575591,34.7466576,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4414/PU4414.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4414/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4414/PU4414_ai.pdf
Johnswood,,"The Johnswood House, located at 10314 Cantrell Road, is a Rustic and Colonial Revival style house. Listed in the National Register of Historic Places in 5/20/1994, it was designed by architect Maximilian F. Mayer and constructed in 1941.  This was home to John Gould Fletcher and Charlie May Simon, who were two of the most well-known writers from Arkansas.  Fletcher was an Imagist poet and his wife Simon was a novelist.   Fletcher won a Pulitzer prize in 1939 for his “Selected Poems”.  Simon was also the recipient of literary awards.",10314  Cantrell,,1941,POINT (-92.388236074626 34.7883802964),-92.38823607,34.7883803,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3234/PU3234.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3234/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3234/PU3234_ai.pdf
Mclean House,,"The McLean House, located at 470 Ridgeway Drive is a classic example of a Colonial Revival style house. Listed in the National Register of Historic Places in 12/22/1982, it was designed by architects Thompson and Harding and constructed in 1920.  White weatherboards line the façade of this two-story home and shutters add a simple detail to the nine windows of the main part of the building.  An arched portico is supported by two columns at the front entrance.",470  Ridgeway,Hillcrest Historic District,1920,POINT (-92.312359011279 34.753997034863),-92.31235901,34.75399703,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2234/PU2234.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2234/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2234/PU2234_ai.pdf
Walnut Grove Methodist Church,Walnut Grove United Methodist Churc,"The Walnut Grove Methodist Church, located on Walnut Grove Road, is a Greek Revival and Traditional style structure. Listed in the National Register of Historic Places in 9/28/1977, it was constructed in 1886.  This white, one-room church building, constructed of clapboard, emits simple elegance and is a classic example of a rural building during that time period.",Walnut Grove Rd,,1886,POINT (-92.511900022073 34.766786497172),-92.51190002,34.7667865,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3252/PU3252.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3252/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3252/PU3252_ai.pdf
Exchange Bank Building,,"The Exchange Bank Building was built in 1921 at 423 S. Main. The building has Classical Revival designs by Charles Thompson and Thomas Harding. The structure was listed on the National Register of Historic Places on 10/23/1986.  The bank was leasing space in the Masonic Temple when it burned down in 1919. They rebuilt on the site, but in 1931 like many others, the Exchange Bank failed and foreclosed.",423  S Main,,1921,POINT (-92.27083759981 34.744252399233),-92.2708376,34.7442524,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0212/PU0212.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0212/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0212/PU0212_ai.pdf
Remmel Flats,,"Designed by Charles Thompson in 1906, the Remmell Flats were the first of four multi-family units designed and built for H. L. Remmell in a block within a residential neighborhood. The structure was listed on the National Register of Historic Places on 12/22/1982.  The firm wanted to design rental structures for multi-family purposes, but wanted to remain sensitive to neighborhoods of large single-family properties. A two-story, brick flat this Remmell property has a Classical Revival architect style, which was relevant in Little Rock at the time.",1700  S Spring,Governor's Mansion Historic District,1906,POINT (-92.27734184115 34.732805760871),-92.27734184,34.73280576,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1273/PU1273.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1273/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1273/PU1273_ai.pdf
St. Edward's Church,,"Charles L. Thompson’s designed St. Edwards Church in 1901.  Although the firm designed several Gothic Revival style churches, St. Edwards Church reflects a tendency toward a more high-style design. Twin symmetrical towers flank the front entry.  The structure was listed on the National Register of Historic Places on 12/22/1982.",823  S Sherman,Macarthur Park Historic District,1901,POINT (-92.265086082533 34.739785945615),-92.26508608,34.73978595,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2867/PU2867.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2867/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2867/PU2867_ai.pdf
"Robinson, Joseph Taylor House",Foster-Robinson House,"The Foster-Robinson House was constructed in 1904. It was built by Harry Howard Foster, a native of Wisconsin and President of the Wisconsin and Arkansas Lumber Company at Malvern, the Arkansas Land and Lumber Company and the Malvern and Freeo Valley Railroad. Senator Joseph Taylor Robinson and his wife attained the house in 1930. Senator Joe T. Robinson, as he was called went on to be a state legislator (1895), a U.S. House of Representative (1902), the Governor (1912), and was elected to complete the term of Senator Davis of Arkansas after his death (1913). The structure was listed on the National Register of Historic Places on 3/28/1975.",2122  S Broadway,Governor's Mansion Historic District,1905,POINT (-92.279021438292 34.727901917625),-92.27902144,34.72790192,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1413/PU1413.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1413/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1413/PU1413_ai.pdf
Farrell House,,"The Farrell House, one of the four rental houses built by Farrell located on this street, at 2111 Louisiana Street, is a Craftsman style home. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1914 for A. E. Farrell.  This brick and stucco house features a gable roof with three front facing dormers.  The wide front porch is supported by brick square pillars and is semi-enclosed by a wall.",2111  S Louisiana,Governor's Mansion Historic District,1914,POINT (-92.274753125523 34.728259335692),-92.27475313,34.72825934,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1071/PU1071.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1071/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1071/PU1071_ai.pdf
Johnson House #3,Cromwell Court Apartments,"The Johnson House, now known as part of the Cromwell Court Apartments, located at 518 East 8th Street, is a Colonial Revival style house. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1900 as one of three rent houses located on this street.  A hipped roof with a centered dormer caps this two-story, weatherboard house. Around the entrance, a porch is surrounded by Tuscan columns.",518  E 8th,Macarthur Park Historic District,1910,POINT (-92.265953820617 34.740771885551),-92.26595382,34.74077189,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2842/PU2842.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2842/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2842/PU2842_ai.pdf
Nash House,Dd&F Offices,"This decorative, handsomely detailed house, of very tall proportions, is a prominent landmark at the corner of 6th and Rock Streets in Little Rock. It was designed in 1907 by Charles L. Thompson.  It is one of the most formal and handsomely detailed medium-scaled houses designed by Thompson. It is an excellent example of the Georgian Revival influence in a residence which is something less than a mansion.  The structure was listed on the National Register of Historic Places on 12/22/1982.",601  S Rock,Macarthur Park Historic District,1907,POINT (-92.267524981611 34.74247834803),-92.26752498,34.74247835,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2801/PU2801.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2801/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2801/PU2801_ai.pdf
Harris House,Harris-Griffin House,"The Harris House, also known as the Griffin-Harris House, located at 6507 Fourche Dam Pike, is a Spanish Eclectic and Mission Revival style house. Listed in the National Register of Historic Places in 6/3/1998, and was constructed by Porter Field Harris in 1924 for him and his wife, Florence Elizabeth Griffin Harris.   This one-story, stucco house features unique detailing through the plaster work of the original owner.  Mr. Harris was a master plasterer and is known to have helped with the building of the Arkansas State Capitol and the remodeling of St. Edwards Church.",6507  Fourche Dam Pike,,1924,POINT (-92.197867675084 34.721370077157),-92.19786768,34.72137008,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9975/PU9975.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9975/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9975/PU9975_ai.pdf
Turner House,Turner-Fulk House,"This large Colonial Revival house resides one of Little Rock’s most historic districts. Designed by Charles L. Thompson, it was built from 1904-1905. The structure was listed on the National Register of Historic Places on 12/22/1982.  Prominent architectural features of the house include a large gambrel roof, round arched dormer windows, elaborate entry marked by a fanlight, and sidelights with unusual tracery. The house was severely damaged by fire in 1981, but was restored using the original plans to near original condition.",1701  S Center,Governor's Mansion Historic District,1904,POINT (-92.275507813865 34.73247281569),-92.27550781,34.73247282,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1154/PU1154.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1154/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1154/PU1154_ai.pdf
Reid House,,"The Reid House, located at 1425 Kavanaugh Boulevard, is a Dutch Colonial style. Listed in the National Register of Historic Places in 12/22/1982, it was designed by renowned architect Charles L. Thompson and constructed in 1911. A gambrel roof is centered in the front of the house, which extends out as a covering of the porch, with dormer windows located on both forward facing sides. Granite is used to decorate the large chimney and the walled porch.",1425  Kavanaugh,Hillcrest Historic District,1911,POINT (-92.308546202735 34.754679652321),-92.3085462,34.75467965,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2130/PU2130.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2130/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2130/PU2130_ai.pdf
"Blass, Gus Department Store",Fabco Building,"Designed by architect George Mann, the seven-story Gus Blass Department Store, one of Little Rock's earliest ""skyscrapers"", is a good example of Sullivanesque architecture with Neo-classical details.  The structure was listed on the National Register of Historic Places on 11/18/1986.  It was built in 1912 and designed by George Mann.",320  S Main,Main Street Commercial District,1912,POINT (-92.271104415367 34.745399820018),-92.27110442,34.74539982,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0201/PU0201.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0201/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0201/PU0201_ai.pdf
Reichardt House,Reichardt-Hoeltzel House,"The Edward Reichardt House in Little Rock’s historic Quapaw Quarter district is the home of one of Arkansas’ early German immigrant families. Through most European immigrants arrived in Arkansas in the latter part of the 19th century, several scattered settlements represents were established earlier in the century. The Reichardt House represents the success of the German Immigrants in establishing themselves in a new country.  The structure was listed on the National Register of Historic Places on 5/2/1975.",1201  S Welch,,1871,POINT (-92.259571465505 34.735838598382),-92.25957147,34.7358386,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3118/PU3118.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3118/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3118/PU3118_ai.pdf
Central Presbyterian Church,,"The Central Presbyterian Church, at 1921 Arch Street is a Gothic Revival and Craftsman style church that can be found on a historic Little Rock street. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architects Thompson and Harding and constructed in 1921.   The rectangular building stands out due to its large gable and two tall brick towers in the front.  It also features a yellow brick and stucco exterior and stained glass windows.",1921  S Arch,Governor's Mansion Historic District,1921,POINT (-92.279471530414 34.729834335062),-92.27947153,34.72983434,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1478/PU1478.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1478/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1478/PU1478_ai.pdf
Barlow Apartments,,"The Barlow Apartments, located at 2115 Scott Street, is a good example of a Craftsman style structure. Listed in the National Register of Historic Places in 4/7/1995, it was constructed in 1921 for Virgil M. Barlow.  This two-story multi-family unit features a brick façade and contains four apartments within it.",2115  S Scott,,1922,POINT (-92.272291718815 34.72810541576),-92.27229172,34.72810542,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4807/PU4807.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4807/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4807/PU4807_ai.pdf
House At 1010 S. Rock St.,,"The Baer House, at 1010 S. Rock has a Craftsmen style designed by Charles Thompson. It’s listed in the National Register of Historic Places on 04-07-1995. The house was constructed in 1915. The house has a Craftsman style that was an important representation of Charles Thompson and his firm he shared with Frank Ginnochio and Theodore Sanders. The Baer Grocery Store at 1020 Rock Street was destroyed by fire.",1010  S Rock,Macarthur Park Historic District,1910,POINT (-92.268821950043 34.738380944257),-92.26882195,34.73838094,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2992/PU2992.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2992/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2992/PU2992_ai.pdf
Old State House,First Arkansas State Capitol,The Old State House was built in 1833-36 and is a symmetrical stucco covered brick structure consisting of a three story central block with two two-story wings attached with two story enclosed porticos.  It was enlarged in 1885 and restored between 1948 and 1954.  Most of the building now serves as a museum and is open daily to the public with guided tours. The structure was listed on the National Register of Historic Places on 12/3/1969 and was listed as a National Historic Landmark on 12/9/1997.,300  W Markham,,1836,POINT (-92.272564147023 34.749018747736),-92.27256415,34.74901875,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3095/PU3095.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3095/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3095/PU3095_ai.pdf
House At 1217 W 3rd St,,"The Isaac Homard House, located at 1217 W 3rd Street, is an excellent example of the Neo-Classical Style featuring four two-story fluted wood columns on the front elevation. It was listed on the National Register of Historic Places on March 27, 2017.",1217  W 3rd,,1910,POINT (-92.284602308567 34.747804175846),-92.28460231,34.74780418,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9848/PU9848.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9848/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9848/PU9848_ai.pdf
Peoples Building & Loan Building,Gans Building,"This structure is a small three-story commercial building of brick and limestone with decorative terra cotta. The structure was listed on the National Register of Historic Places on 9/2/1982.  The building was built by L.B. Leigh and Solomon and Gus Gans, all prominent, local businessmen. Leigh served as president of the Peoples Building & Loan Association (incorporated in 1884) during the early 1900’s, and after the Peoples Building opened in 1903, located both the Building and Loan Association and his insurance agency there.",213  W 2nd,,1903,POINT (-92.272462687527 34.747231082826),-92.27246269,34.74723108,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3246/PU3246.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3246/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3246/PU3246_ai.pdf
"Ivy, Joe Filling Station",,"The Esso Standard Oil Service Station, built in 1957, embodies American car culture.  It exhibits twentieth century commercial style with international characteristics through the use of smooth external enameled panels, flat roof, asymmetrical design and curtain windows. The structure was listed on the National Register of Historic Places on 1/8/2016.",1600  W 3rd,,1945,POINT (-92.289131016182 34.748788886764),-92.28913102,34.74878889,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4628/PU4628.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4628/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4628/PU4628_ai.pdf
Pike-Fletcher-Terry House,Decorative Arts Museum,"The 1840 Greek Revival building was home to generations of famous Arkansans:  Albert Pike, philosopher, scholar, solider and poet; Capitan John Fletcher, banker and politician; John Gould Fletcher, Pulitzer Prize winning poet; David Terry, U.S. congressman; and Adolphine Fletcher Terry, political and social activist, founder of Women’s Emergency Committee in response to the Desegregation crisis of 1957.  The structure was listed on the National Register of Historic Places on 8/21/1972.",411  E 7th,Macarthur Park Historic District,1840,POINT (-92.267486552434 34.740914802829),-92.26748655,34.7409148,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2829/PU2829.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2829/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2829/PU2829_ai.pdf
"Waters, Charles Clary House",House At 2004 W. 22Nd Street,"The Charles Clary Waters House, at 2004 West 22nd Street, is a Classical Revival style house. Listed in the National Register of Historic Places in 8/10/1979, it was constructed in 1906. Four Ionic columns hold up the large, gabled portico on this white two-story house.  This home was built for Charles Clary Waters who was had a successful career in law, including serving as U.S. District Attorney for the Eastern District of Arkansas.",2004  W 22nd,Central High School Neighborhood Historic District,1906,POINT (-92.295741734808 34.728572354777),-92.29574173,34.72857235,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5191/PU5191.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5191/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5191/PU5191_ai.pdf
Williamson House,,"The Williamson House, located at 325 Fairfax is a Craftsman style house that was created for Roger W. Williamson, who a few short years later, sold the house to the Vice President of Pfeifer Brothers Department Store, Harry W. Pfeifer. Listed in the National Register of Historic Places in 11/15/1984, it was designed by noted architect Theodore Sanders and constructed in 1911.  The wooden façade and brick foundation is topped by a gable roof and detailed with protruding rafter ends. A long, covered front porch is decorated with square pillars.",325  Fairfax,Hillcrest Historic District,1910,POINT (-92.308240426507 34.753452809347),-92.30824043,34.75345281,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2115/PU2115.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2115/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2115/PU2115_ai.pdf
Lincoln Avenue Viaduct,Cantrell Road Bridge,"The Lincoln Avenue Viaduct is located on Cantrell Rd. over the Mississippi Pacific railroad tracks. The bridge was listed in the National Register of Historic Places on 04-09-1990. The bridge was designed by Missouri Pacific Railroad Company. It was built in 1928 by Ozark Engineering Company, also from Missouri. The bridge reflects the historic context of Arkansas Highway and Transportation Era from 1923 to 1939. It was built to replace the old Baring Cross Bridge that was lost to a flood in 1927. It is the first and the only rainbow arch style bridge in Little Rock. Today the bridge is used for pedestrian walking and vehicle traffic. The bridge remains in good condition and is being maintained by the City of Little Rock.",1820  Cantrell,,1928,POINT (-92.283249439092 34.75242870936),-92.28324944,34.75242871,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2025/PU2025.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2025/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2025/PU2025_ai.pdf
Tower Building,,"The Tower Building, also knowns as the Catlett-Prien Tower, located at 323 Center Street, is a 20th Century Standard Commercial and International style structure. Listed in the National Register of Historic Places in 9/23/2011, it was designed by architects F. Eugene Withrow and Harold A. Berry and constructed in 1960.  This 18-story building was constructed of concrete and a steel frame and was the tallest building in Arkansas for approximately ten years. This building is architecturally important due to it being the first skyscraper to use the International style.",323  S Center,,1960,POINT (-92.272958385102 34.745731962623),-92.27295839,34.74573196,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3550/PU3550.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3550/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3550/PU3550_ai.pdf
"Mcguire, Thomas R House",,"The Thomas R. McGuire House, at 114 Rice Street, is a Colonial Revival and Traditional style home built from decorative cast concrete block. Listed in the National Register of Historic Places in 12/19/1991, it was and constructed in 1904 by Thomas R. McGuire who built the house himself, being a master machinist and skilled metal-worker.  The one-and-one-half story house is constructed of concrete and topped with a gabled roof. The house also features a wraparound porch, with intricate metal pillars.",114  S Rice,Capitol View Neighborhood Historic District,1904,POINT (-92.300059859069 34.750181763864),-92.30005986,34.75018176,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3453/PU3453.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3453/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3453/PU3453_ai.pdf
"Hinderliter, Jesse House","Tavern, The","The Jesse Hinderliter House, also known as The Tavern, is located at 214 E. 3rd St. at the Historic Arkansas Museum.  The house was built in the early 1800s. It’s the most significant construction in the Territorial Restoration Complex. There was restoration work done between the years of 1939 and 1941.  Today the house is the oldest house in Little Rock. The structure was listed on the National Register of Historic Places on 3/5/1970.",214  E 3rd,,1820,POINT (-92.268472464005 34.745955914188),-92.26847246,34.74595591,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3135/PU3135.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3135/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3135/PU3135_ai.pdf
Boone House,,"The Boone House, located at 4014 Lookout Road is an English and Tudor Revival style house. It was designed by architects Thompson and Harding and constructed in 1927.  The structure was listed on the National Register of Historic Places on 12/22/1982.  Red brick and stucco line this large two-story house and terra-cotta gables make up the roof elevation. Beautiful fieldstone work is seen detailing the large chimney and the front arches to create a rustic look that works well in this wooded area.",4014  S Lookout,Hillcrest Historic District,1920,POINT (-92.318605773356 34.76328197248),-92.31860577,34.76328197,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0949/PU0949.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0949/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0949/PU0949_ai.pdf
Snyder House,,"Sanders and Ginocchio designed the Snyder House in 1925. The structure was listed on the National Register of Historic Places on 12/22/1982.  With a blend of Colonial Revival and Craftsman styling it embodied post World War I’s popular taste.  Located on a large wooded plot in one of Little Rock’s earliest subdivisions, Pulaski Heights, Snyder’s house is known as an older Craftsman-influenced house.",4004  S Lookout,Hillcrest Historic District,1925,POINT (-92.318081460919 34.763522473085),-92.31808146,34.76352247,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0948/PU0948.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0948/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0948/PU0948_ai.pdf
Darragh House,,"Dutch Colonial in stylistic influence, the Darraugh House was designed by Charles Thompson in 1916. It features narrow vertical proportions dominated by a steep, terra-cotta, gable-end roof which overhangs the front porch. While it was once residential, the structure is now used for commercial purposes. The structure was listed on the National Register of Historic Places on 12/22/1982",2412  S Broadway,,1915,POINT (-92.279161755614 34.725155062417),-92.27916176,34.72515506,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1427/PU1427.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1427/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1427/PU1427_ai.pdf
